votes,gas,blocks15,blocks30,fee15,fee30
3690,5645936160,15960527,,,
3698,5658176672,15960464,,,
3135,4796750640,15964599,,,
3298,5046151072,15963444,,,
3815,5837194160,15959704,,,
4149,6348235536,15957973,,,
3351,5127244464,15963036,,,
4996,7644199744,15952875,,,
4964,7595237696,15953072,,,
3099,4741668336,15964819,,,
4142,6337525088,15958007,,,
4930,7543215520,15953237,,,
3486,5333803104,15962016,,,
4920,7527914880,15953294,,,
3805,5821893520,15959765,,,
3424,5238939136,15962489,,,
4660,7130098240,15954882,,,
3875,5928998000,15959333,,,
3136,4798280704,15964594,,,
3282,5021670048,15963562,,,
3665,5607684560,15960712,,,
4246,6496651744,15957395,,,
4629,7082666256,15955078,,,
3959,6057523376,15958937,,,
4779,7312175856,15954061,,,
3364,5147135296,15962929,,,
4860,7436111040,15953596,,,
3259,4986478576,15963726,,,
4910,7512614240,15953340,,,
4299,6577745136,15957123,,,
4865,7443761360,15953574,,,
3300,5049211200,15963426,,,
3491,5341453424,15961978,,,
4924,7534035136,15953268,,,
3508,5367464512,15961830,,,
4912,7515674368,15953332,,,
4770,7298405280,15954133,,,
3647,5580143408,15960833,,,
3104,4749318656,15964784,,,
4178,6392607392,15957816,,,
3696,5655116544,15960481,,,
4189,6409438096,15957751,,,
3216,4920685824,15964053,,,
3028,4633033792,15965371,,,
4547,6957201008,15955624,,,
4876,7460592064,15953521,,,
3660,5600034240,15960753,,,
4517,6911299088,15955826,,,
3476,5318502464,15962096,,,
4504,6891408256,15955894,,,
3147,4815111408,15964511,,,
3505,5362874320,15961852,,,
4329,6623647056,15956953,,,
3488,5336863232,15961988,,,
4031,6167687984,15958622,,,
4557,6972501648,15955551,,,
3335,5102763440,15963144,,,
3496,5349103744,15961924,,,
3529,5399595856,15961670,,,
4982,7622778848,15952968,,,
3575,5469978800,15961304,,,
3023,4625383472,15965415,,,
3447,5274130608,15962299,,,
4666,7139278624,15954835,,,
3102,4746258528,15964796,,,
3192,4883964288,15964221,,,
4724,7228022336,15954447,,,
4927,7538625328,15953253,,,
3380,5171616320,15962812,,,
4607,7049004848,15955213,,,
3365,5148665360,15962909,,,
3786,5792822304,15959891,,,
4244,6493591616,15957405,,,
4788,7325946432,15954002,,,
3860,5906047040,15959424,,,
4839,7403979696,15953702,,,
4280,6548673920,15957211,,,
3706,5670417184,15960405,,,
3159,4833472176,15964436,,,
3618,5535771552,15961008,,,
4070,6227360480,15958420,,,
4336,6634357504,15956916,,,
3050,4666695200,15965218,,,
4567,6987802288,15955493,,,
4210,6441569440,15957630,,,
4933,7547805712,15953221,,,
3064,4688116096,15965092,,,
3337,5105823568,15963131,,,
4067,6222770288,15958440,,,
4896,7491193344,15953421,,,
4955,7581467120,15953119,,,
4462,6827145568,15956125,,,
3499,5353693936,15961893,,,
3391,5188447024,15962745,,,
4355,6663428720,15956790,,,
3522,5388885408,15961739,,,
4284,6554794176,15957191,,,
4931,7544745584,15953233,,,
4165,6372716560,15957886,,,
4803,7348897392,15953894,,,
4978,7616658592,15952991,,,
3641,5570963024,15960870,,,
3422,5235879008,15962503,,,
3864,5912167296,15959400,,,
4168,6377306752,15957872,,,
4549,6960261136,15955611,,,
3541,5417956624,15961581,,,
3223,4931396272,15964008,,,
3255,4980358320,15963751,,,
4362,6674139168,15956740,,,
4545,6954140880,15955639,,,
3367,5151725488,15962890,,,
4414,6753702496,15956390,,,
4390,6716980960,15956539,,,
4447,6804194608,15956208,,,
4735,7244853040,15954352,,,
3438,5260360032,15962384,,,
3780,5783641920,15959926,,,
3771,5769871344,15959978,,,
3809,5828013776,15959740,,,
4343,6645067952,15956870,,,
4310,6594575840,15957057,,,
3987,6100365168,15958814,,,
3894,5958069216,15959232,,,
4367,6681789488,15956705,,,
3677,5626045328,15960614,,,
4825,7382558800,15953767,,,
4913,7517204432,15953326,,,
4348,6652718272,15956844,,,
4956,7582997184,15953118,,,
3020,4620793280,15965439,,,
3437,5258829968,15962395,,,
4055,6204409520,15958503,,,
4738,7249443232,15954331,,,
4994,7641139616,15952887,,,
3214,4917625696,15964075,,,
3532,5404186048,15961649,,,
4551,6963321264,15955604,,,
3540,5416426560,15961586,,,
4041,6182988624,15958576,,,
3202,4899264928,15964160,,,
4011,6137086704,15958711,,,
4083,6247251312,15958343,,,
3551,5433257264,15961519,,,
4380,6701680320,15956613,,,
3989,6103425296,15958803,,,
4647,7110207408,15954964,,,
4677,7156109328,15954757,,,
4088,6254901632,15958321,,,
3295,5041560880,15963463,,,
4377,6697090128,15956631,,,
4043,6186048752,15958561,,,
3622,5541891808,15960990,,,
3837,5870855568,15959566,,,
4225,6464520400,15957534,,,
4327,6620586928,15956966,,,
4054,6202879456,15958509,,,
4857,7431520848,15953614,,,
3109,4756968976,15964749,,,
3161,4836532304,15964428,,,
4633,7088786512,15955058,,,
3597,5503640208,15961136,,,
3976,6083534464,15958860,,,
3962,6062113568,15958921,,,
3081,4714127184,15964949,,,
3233,4946696912,15963930,,,
4886,7475892704,15953475,,,
4173,6384957072,15957842,,,
3247,4968117808,15963811,,,
3721,5693368144,15960294,,,
3785,5791292240,15959897,,,
3767,5763751088,15959998,,,
4180,6395667520,15957809,,,
4155,6357415920,15957941,,,
4904,7503433856,15953379,,,
3407,5212928048,15962639,,,
4500,6885288000,15955914,,,
4232,6475230848,15957484,,,
3156,4828881984,15964457,,,
4889,7480482896,15953462,,,
4459,6822555376,15956142,,,
3037,4646804368,15965299,,,
3825,5852494800,15959643,,,
3503,5359814192,15961866,,,
3468,5306261952,15962153,,,
4279,6547143856,15957219,,,
3995,6112605680,15958779,,,
3134,4795220576,15964605,,,
4099,6271732336,15958249,,,
3359,5139484976,15962978,,,
3320,5079812480,15963273,,,
3056,4675875584,15965157,,,
4992,7638079488,15952900,,,
